Time, Mps, SystemCpu
0, 13717, 0.5999938559842712
1, 85023, 0.39598593815858263
2, 96457, 0.3153032463873564
3, 100263, 0.31981684415771217
4, 100284, 0.27812114073949956
5, 103986, 0.31024899710592013
6, 102469, 0.28280767739905954
7, 102675, 0.2930734839448821
8, 103038, 0.30714710311134996
9, 102226, 0.2825578472295298
10, 96549, 0.3058616913184199
11, 100936, 0.3492427062661769
12, 103257, 0.3058968929734074
13, 99089, 0.37151068218844974
14, 103209, 0.29768020963964814
15, 102390, 0.31993277109063
16, 102348, 0.2721753366090992
17, 101983, 0.269567119223575
18, 103141, 0.2671442085289366
19, 102256, 0.3268974613705229
20, 101006, 0.3256979281136292
21, 102641, 0.2963362689286767
22, 102650, 0.34094643109695466
23, 100657, 0.34348335347383907
24, 102464, 0.28742189319461986
25, 101840, 0.33524827471406937
26, 101782, 0.3543183048332315
27, 102634, 0.3167648709329084
28, 104272, 0.2810392312966915
29, 93811, 0.42306126561081725
30, 98998, 0.292546867810747
31, 102588, 0.3129476954958781
32, 101958, 0.3071918692035276
33, 103535, 0.3460449998872528
34, 103214, 0.2702307727294291
35, 101809, 0.2748124197744064
36, 103301, 0.29891925690977916
37, 104242, 0.31867299150590744
38, 104088, 0.2913617947632582
39, 95296, 0.42502882970517364
40, 101733, 0.29697793924109217
41, 103629, 0.2683872441728693
42, 103919, 0.3110046364740322
43, 104140, 0.28172681724704607
44, 103303, 0.27794214040104137
45, 103479, 0.2931882287939489
46, 102761, 0.34028369359540867
47, 103853, 0.33266577778917783
48, 102949, 0.32884343502527946
49, 104194, 0.2849014565823643
50, 101557, 0.2683166398350646
51, 101502, 0.31232741557556765
52, 103877, 0.2740856131752062
53, 102092, 0.32184151878239914
54, 104171, 0.26382963017570016
55, 102847, 0.2887252134962399
56, 103475, 0.32945168933871627
57, 103439, 0.3097197518477879
58, 103549, 0.2824490581579008
59, 102344, 0.2912783956924051
60, 101917, 0.35561309953291476
61, 103228, 0.31672944959006333
62, 103092, 0.27409392005763533
63, 103600, 0.2676837653418219
64, 104097, 0.281003050554138
65, 99706, 0.28176390862051526
66, 103182, 0.3065607060286728
67, 101838, 0.305282893935808
68, 103434, 0.29509756993096936
69, 100011, 0.28312947284501766
70, 103320, 0.27214123660770395
71, 102574, 0.2836699530731782
72, 103324, 0.27859512912772477
73, 102590, 0.32313644177744194
74, 103121, 0.3027038019038423
75, 103096, 0.3091672766146669
76, 103349, 0.2886509792372488
77, 103933, 0.29891915910231925
78, 103297, 0.32310706149449653
79, 103721, 0.3574888219981047
80, 103389, 0.3058975725069084
81, 102788, 0.31416682748657987
82, 104478, 0.32760810790192996
83, 100378, 0.296973194504898
84, 102290, 0.3187079728681337
85, 103405, 0.3333052952222374
86, 102161, 0.2919540602771251
87, 102312, 0.3122916335344058
88, 103101, 0.29318850531969676
89, 103631, 0.3122916335344058
90, 103552, 0.29764500247180103
91, 103700, 0.30850543811533704
92, 103246, 0.3001611645356568
93, 102836, 0.2785630541002564
94, 101172, 0.32187322609683217
95, 103088, 0.29442485446535016
96, 104097, 0.28622894590810943
97, 100541, 0.37091021409949276
98, 102783, 0.2733910681595524
99, 103855, 0.30274049388219826
100, 102239, 0.34858737732749856
101, 98585, 0.3122915662714236
102, 103841, 0.3116954380230962
103, 103336, 0.30722267138117454
104, 103864, 0.29768020963964814
105, 102355, 0.30282661712760706
106, 102784, 0.2836000972647136
107, 104380, 0.2874594173547891
108, 100427, 0.3295169761924881
109, 103476, 0.28172681724704607
110, 101732, 0.2779062641148322
111, 103570, 0.32563019230383633
112, 102470, 0.297043877567587
113, 103593, 0.27982088052145115
114, 101265, 0.29000522800451467
115, 102070, 0.3161472657820569
116, 103633, 0.27719624144273836
117, 101656, 0.3123103321332038
118, 100670, 0.3142013371460004
119, 102853, 0.3034055694276946
120, 104343, 0.3072219944396738
121, 103284, 0.3282167716961065
122, 101825, 0.2957706264662626
123, 103163, 0.26663498956401366
124, 104262, 0.292513097426763
125, 102357, 0.3046500894106895
126, 103126, 0.27721598435778627
127, 102079, 0.2836370237475442
128, 100268, 0.3148562474050798
129, 101037, 0.2792825834415299
130, 104063, 0.2785954815847109
131, 102430, 0.2995883207019938
132, 103502, 0.28295168752431
133, 103781, 0.2798168224379505
134, 103440, 0.25947353521483363
135, 101802, 0.3256656778039325
136, 102777, 0.2855804913773071
137, 101273, 0.2900456051496141
138, 103943, 0.301497145625522
139, 103321, 0.3155098104104861
140, 102966, 0.3065607060286728
141, 103233, 0.2740845481765297
142, 102844, 0.3180225610401388
143, 103361, 0.3123519221243378
144, 103312, 0.2595102216781501
145, 101820, 0.2824120375179171
146, 100789, 0.3039858098523742
147, 101618, 0.35111758499315315
148, 102998, 0.2970085378129693
149, 99519, 0.3014967066434654
150, 103185, 0.33521557085414877
151, 104076, 0.28363639315644784
152, 101849, 0.3122916335344058
153, 103957, 0.3256340840187001
154, 102037, 0.32633695546711083
155, 102882, 0.3059762068509392
156, 98611, 0.4083709997149677
157, 101529, 0.2779062641148322
158, 102208, 0.2778833533469922
159, 103634, 0.33332629142488224
160, 102428, 0.3211630937037764
161, 103264, 0.31229291152856753
162, 102225, 0.286229043622215
163, 101203, 0.32630318633855127
164, 103809, 0.27290573422342546
165, 102417, 0.3167310520330763
166, 103390, 0.27859876744065604
167, 102395, 0.3015279266223142
168, 101773, 0.3142019101005128
169, 101524, 0.34535754609949537
170, 100657, 0.3422277038075949
171, 102726, 0.3160782361315634
172, 103942, 0.2957753057334892
173, 101200, 0.3148513601509655
174, 102199, 0.3161475023917567
175, 103258, 0.27855783723271854
176, 101502, 0.3390696076372728
177, 102637, 0.2830963015822888
178, 102108, 0.34535754609949537
179, 97165, 0.3949807903606659
180, 103979, 0.34862133457711797
181, 103714, 0.2679929668436637
182, 101765, 0.29198930278549684
183, 103660, 0.3269497086504791
184, 101524, 0.33584911449480026
185, 103857, 0.33900201982657857
186, 102840, 0.32698449606500746
187, 102844, 0.3421727890784556
188, 103887, 0.2931832799692021
189, 103380, 0.27481624607026744
190, 103513, 0.3529920249410655
191, 102974, 0.29199121126850835
192, 101941, 0.3091301120283543
193, 103517, 0.2882720641430181
194, 103235, 0.32057636523782146
195, 103088, 0.3091004073196165
196, 99857, 0.28137027655437186
197, 103644, 0.28168901944474545
198, 100756, 0.3028277345636937
199, 102648, 0.2919902427632932
200, 103355, 0.32882308957912665
201, 103268, 0.2996234287138049
202, 101814, 0.35049733626273194
203, 103277, 0.30843638105762705
204, 99112, 0.3218430478435762
205, 103101, 0.281762854941183
206, 104099, 0.29124100271175535
207, 98972, 0.30534995949961263
208, 104094, 0.32245646326919974
209, 101817, 0.29962315498073855
210, 101203, 0.378429494782652
211, 102668, 0.2797789241405214
212, 103987, 0.31802356157539735
213, 102715, 0.36386854110374306
214, 103888, 0.33268022972355626
215, 98713, 0.3435169026993119
216, 101456, 0.2983184048031631
217, 100013, 0.3161422855256095
218, 100384, 0.27477812302342686
219, 103156, 0.26710668278510796
220, 103420, 0.3511172679683293
221, 101390, 0.29453630302707856
222, 103198, 0.29895536268703127
223, 102366, 0.32371846599539933
224, 103216, 0.34480059612501135
225, 103261, 0.2709607607320431
226, 103329, 0.29453630302707856
227, 101911, 0.28622894590810943
228, 101825, 0.28307026628930254
229, 102136, 0.31869825373737803
230, 102794, 0.31420123933849264
231, 102590, 0.2881377760532331
232, 101535, 0.2855470209852752
233, 103679, 0.2843205894271188
234, 100746, 0.27474141340250013
235, 103590, 0.2824483570449037
236, 102378, 0.3301242405051974
237, 103186, 0.33775789317444493
238, 103724, 0.29004595201240735
239, 99963, 0.32884343502527946
240, 103543, 0.31038101971905985
