Time, Mps, SystemCpu
0, 0, 1
1, 16505, 0.5941291239852853
2, 81528, 0.4575387267672366
3, 69633, 0.3625465921890306
4, 94478, 0.4380262883809313
5, 110457, 0.4341204640840769
6, 105584, 0.4438780949008859
7, 105111, 0.4360749721810551
8, 109909, 0.4028995214154186
9, 111056, 0.4633921137305074
10, 113105, 0.40485431345002276
11, 109646, 0.37754791521222314
12, 109756, 0.3931298663255368
13, 107184, 0.4483495276829613
14, 99977, 0.5843489921942487
15, 107952, 0.4614413754491298
16, 102145, 0.43997581456984347
17, 109576, 0.39763385555006825
18, 110828, 0.383405355750446
19, 107526, 0.41459305431487453
20, 28553, 0.28871200875750835
21, 99450, 0.4132303647112556
22, 101114, 0.4034833450692452
23, 95079, 0.4204618556890545
24, 102651, 0.43412364320813557
25, 105081, 0.40875347314254623
26, 102884, 0.4224156766850551
27, 99340, 0.42049290424286867
28, 99671, 0.4399467749072742
29, 98010, 0.4165594832497146
30, 103691, 0.42046324528258144
31, 101785, 0.42826921132588347
32, 96670, 0.4692455123896331
33, 100296, 0.4717127569215229
34, 105369, 0.4210275794260541
35, 103648, 0.4332767167740168
36, 101758, 0.4302185932492324
37, 98262, 0.43607333832400685
38, 106255, 0.43021973174857364
39, 100707, 0.4672952985187059
40, 101068, 0.48485573263030934
41, 106410, 0.4243655123576629
42, 101310, 0.4477807548899142
43, 103320, 0.410707777520241
44, 98372, 0.43217049849080835
45, 104436, 0.4327241401646994
46, 97726, 0.41851047379156836
47, 101520, 0.4029030410117883
48, 100857, 0.40875337323552974
49, 96845, 0.4399762182145658
50, 104323, 0.41521085045296546
51, 101365, 0.4321419051261546
52, 101660, 0.4341221601390781
53, 110143, 0.40875479090460687
54, 101612, 0.41851202606524984
55, 102745, 0.4126576428246589
56, 97395, 0.4146079098104296
57, 102647, 0.4243670500044908
58, 100663, 0.3937375163736869
59, 100610, 0.44192504228818463
60, 105539, 0.4068108010686696
61, 103567, 0.38533236209538424
62, 101941, 0.43997649796500193
63, 101612, 0.41460989828411454
64, 99917, 0.4658638466393036
65, 101003, 0.4731486952294386
66, 106872, 0.4750984507734144
67, 98511, 0.488758546145464
68, 100422, 0.4580676913470678
69, 100811, 0.4575381848124742
70, 102579, 0.4750989227446484
71, 101405, 0.4346734736652993
72, 97940, 0.4477839547584593
73, 102513, 0.49265821171117435
74, 100438, 0.5199828960947748
75, 96993, 0.44972956102145983
76, 107021, 0.45168398199242094
77, 100642, 0.4282679403580578
78, 105983, 0.442471680865035
79, 104112, 0.43802359341801245
80, 108204, 0.39509624060165405
81, 94400, 0.4887658477295219
82, 107071, 0.4594821169702704
83, 102062, 0.4015343080906696
84, 94225, 0.5063190157325499
85, 103532, 0.42046324528258144
86, 102157, 0.4444218875821878
87, 107586, 0.44778142736869486
88, 101859, 0.4477809308353444
89, 101919, 0.49656285239042786
90, 101329, 0.4380246601772585
91, 101663, 0.45168380799685415
92, 93502, 0.43077636788587115
93, 100358, 0.40680386722916817
94, 110427, 0.4321710090604366
95, 102849, 0.4555863645700374
96, 102453, 0.44192765118825994
97, 94763, 0.51412444167014
98, 101579, 0.5321470145290434
99, 99696, 0.4477783273786944
100, 101337, 0.48925595500986363
101, 100734, 0.4965648139600589
102, 101695, 0.4853569389604634
103, 104832, 0.488759261214838
104, 97344, 0.5433946301679053
105, 96888, 0.5355898197852664
106, 103726, 0.5262966996728657
107, 103816, 0.5453452744804039
108, 100239, 0.44976237974504985
109, 104891, 0.40482192561502983
110, 99882, 0.48145817779676375
111, 105948, 0.4483206316240821
112, 100208, 0.4673213221583351
113, 94277, 0.47168455160847683
114, 99620, 0.47900174347316515
115, 103119, 0.41070823067115336
116, 109773, 0.39119307773916157
117, 101183, 0.45168413667951396
118, 105022, 0.4419261016437087
119, 106663, 0.45363967142951345
120, 103833, 0.4717097570579261
121, 98640, 0.44831830866706324
122, 96666, 0.4907100786445303
123, 97812, 0.5277839525778023
124, 101059, 0.4405233229355566
125, 109170, 0.40875337323552974
126, 101499, 0.46924577751921925
127, 102749, 0.46781465126092864
128, 99157, 0.405431633727032
129, 108043, 0.424926777391793
130, 103713, 0.40485687017085625
131, 98984, 0.4185090795124091
132, 101007, 0.4341223862789768
133, 97193, 0.47171054798499257
134, 100573, 0.4614416444766054
135, 105267, 0.41851196797071855
136, 99267, 0.43802634452571726
137, 102173, 0.4185096023678774
138, 102478, 0.41712940741536997
139, 100162, 0.4126563344213869
140, 103582, 0.434123516975759
141, 101368, 0.44778142736869486
142, 102259, 0.436073438230724
143, 105864, 0.4185118680640414
144, 101729, 0.4048615673449032
145, 110965, 0.40679337726642395
146, 107264, 0.4210280259564103
147, 97537, 0.4171305709308663
148, 97973, 0.42436522480873096
149, 107983, 0.4282667979577417
150, 106556, 0.39314617586477296
151, 98423, 0.42631580156767934
152, 102986, 0.4341233605345397
153, 108703, 0.4146093719247479
154, 106337, 0.416590200311713
155, 102456, 0.4184804790265046
156, 103243, 0.4087556769443278
157, 99882, 0.3970482202092823
158, 96268, 0.4341209295299569
159, 99639, 0.4327244232618006
160, 100231, 0.38338823040926684
161, 103806, 0.43272545583825495
162, 105060, 0.4210282571035009
163, 100424, 0.4302180809230445
164, 106066, 0.4321724273045865
165, 98053, 0.42826759763844235
166, 95470, 0.44192777430213726
167, 99495, 0.42826708355824883
168, 95528, 0.43857204667687055
169, 97964, 0.4497338041859016
170, 102019, 0.42631717712484773
171, 101911, 0.4224131376796238
172, 89540, 0.39314435700048295
173, 92771, 0.45168413667951396
174, 107272, 0.4614415906711318
175, 98024, 0.44636938085195366
176, 101788, 0.43412256904696866
177, 106915, 0.4341224428139232
178, 100179, 0.43077381125859415
179, 107063, 0.40680445987135827
180, 100281, 0.4697637586697992
181, 103592, 0.492660137815611
182, 100691, 0.48095333387216355
183, 105215, 0.4614402993365394
184, 103981, 0.42436538222530745
185, 105580, 0.39900063640368977
186, 100625, 0.44192559984422497
187, 107861, 0.434123516975759
188, 105033, 0.43412228637229966
189, 100156, 0.4639147907921915
