Time, Mps, SystemCpu
0, 0, 1
1, 12201, 0.4481217204179158
2, 37374, 0.15621574976346286
3, 22428, 0.0945322143231917
4, 39795, 0.17418006445652867
5, 40110, 0.2156258778745834
6, 42898, 0.14842768801594763
7, 45201, 0.1774552607987485
8, 18801, 0.0758716883111179
9, 51401, 0.16184443553934835
10, 42950, 0.14474258546470598
11, 72797, 0.23430512654127178
12, 22604, 0.08740613730323787
13, 88602, 0.371680299272599
14, 86852, 0.19788944322577284
15, 42801, 0.14081969482126122
16, 84918, 0.24551017448229717
17, 21684, 0.06229038473103799
18, 77201, 0.20859289206685827
19, 51354, 0.16124693061611983
20, 56248, 0.16239025054899092
21, 55401, 0.17366544278618393
22, 58201, 0.144435803496046
23, 99638, 0.31118866552033475
24, 88625, 0.29041808528986224
25, 103749, 0.29305640477070793
26, 53392, 0.163150435244658
27, 63203, 0.15859586744907472
28, 95123, 0.2787209102938849
29, 70957, 0.2804787855468607
30, 92850, 0.32289774266744564
31, 92377, 0.2195732721552035
32, 49987, 0.12491503139098648
33, 102018, 0.3099118683314869
34, 104283, 0.3482649856768793
35, 98626, 0.33655722189902415
36, 103804, 0.3424105624631094
37, 93239, 0.21544323332789972
38, 88061, 0.23193639274709954
39, 105619, 0.30533707929714926
40, 97260, 0.2923662190709032
41, 109802, 0.2982170896377767
42, 52185, 0.09582923665152387
43, 100591, 0.2541063458009418
44, 100066, 0.29695139042127094
45, 106808, 0.23760077791561918
46, 63961, 0.196396184817213
47, 68265, 0.20288569575412863
48, 102532, 0.3599741282185745
49, 87965, 0.3619238079329138
50, 106012, 0.339151928544373
51, 95506, 0.3449670937628969
52, 93457, 0.37935107711357174
53, 96885, 0.3808807022107171
54, 96210, 0.4029004162319886
55, 101618, 0.21947869469063686
56, 106963, 0.21397478005239956
57, 68940, 0.5219307254746968
58, 94723, 0.24510373974299882
59, 91932, 0.5652842330747843
60, 107142, 0.28651958971601166
61, 101335, 0.23118618017527848
62, 31531, 0.23283546319740422
63, 106717, 0.28332063003570085
64, 93318, 0.22520699784256404
65, 62608, 0.582827473766317
66, 102044, 0.27482251647578293
67, 94260, 0.29963576004152015
68, 108747, 0.45251995015866575
69, 91591, 0.274103872644912
70, 71297, 0.5886765978890938
70, 71297, 0.5886765978890938
71, 46627, 0.2130037045245117
72, 86554, 0.2076178700394803
73, 101049, 0.5980318186749938
74, 103572, 0.27801882459711924
75, 107668, 0.25069992120360374
76, 103688, 0.43802359341801245
77, 109685, 0.2292348010071802
78, 56875, 0.17260137325441993
79, 96709, 0.5574861227624623
80, 94056, 0.2721652621807037
81, 92962, 0.5492483456170503
82, 93747, 0.23313927489440878
83, 102984, 0.237784032497929
84, 101746, 0.20191537544469818
85, 90331, 0.36962421758691777
86, 88998, 0.20386707549892746
87, 98755, 0.44442055673663305
88, 100159, 0.4282695968304071
89, 99412, 0.28972419294185536
90, 88932, 0.5707133249684769
91, 103968, 0.25872332244373863
92, 112077, 0.29987545807064153
93, 100163, 0.374332172370927
94, 89952, 0.2624073165292883
95, 101296, 0.557485978786127
96, 86648, 0.2845703859923686
97, 98557, 0.25460359287850287
98, 94807, 0.5824205258278758
99, 107262, 0.2663096798068043
100, 106083, 0.2574997526968975
101, 96847, 0.4029016093165765
102, 98140, 0.35411827224017267
103, 66050, 0.12443749744541766
104, 89901, 0.5461199635509828
105, 87660, 0.25922774539242777
106, 106700, 0.4463693255943729
107, 91036, 0.4396234982982376
108, 101836, 0.3236982051196292
109, 111131, 0.4458309805346118
110, 109572, 0.3053347196417098
111, 92466, 0.5611462611160966
112, 100560, 0.3015266517808447
113, 92042, 0.5570552405892844
114, 94532, 0.2638424672504758
115, 102685, 0.402117702592521
116, 107096, 0.22142958405511812
117, 116754, 0.28067010077761556
118, 97544, 0.49421244156467736
119, 77839, 0.19742183593080664
120, 74418, 0.2016347123572465
121, 39346, 0.0676652109295155
122, 59079, 0.5613837797482404
123, 86113, 0.1974687206667992
124, 96226, 0.29167689045507117
125, 85651, 0.4146985470888785
126, 70580, 0.22967065478727744
127, 82265, 0.20401053827616777
128, 80365, 0.5882750276067237
129, 110886, 0.3443634135902449
130, 86244, 0.4925865501112622
131, 72036, 0.21348654124769662
132, 101141, 0.29557820978194616
133, 91820, 0.42046463486944474
134, 101344, 0.29362788645635896
135, 79847, 0.5648585213156903
136, 105788, 0.2553304061313145
137, 110485, 0.2507002955038221
138, 69448, 0.6312026397032282
139, 103823, 0.42492671999412324
140, 88640, 0.3371935761430307
141, 63403, 0.3620438230349371
142, 18620, 0.04944653008752509
143, 73554, 0.22369228264880514
144, 107304, 0.2741155486659911
145, 49288, 0.5649940733703567
146, 92516, 0.2696813446954117
