Time, Mps, SystemCpu
0, 0, 0.021684707819334546
1, 4588, 0.9514824797843666
2, 11977, 0.9539951573849879
3, 69412, 0.8296296296296296
4, 47445, 0.850632911392405
5, 51355, 0.7806122448979592
6, 53010, 0.7837837837837838
7, 52220, 0.8402948402948403
8, 57916, 0.7732997481108312
9, 60009, 0.8165374677002584
10, 63471, 0.8592964824120602
11, 64002, 0.8357843137254902
12, 71843, 0.8295739348370927
13, 75472, 0.8406862745098039
14, 76633, 0.8024691358024691
15, 92391, 0.78
16, 80402, 0.8158567774936061
17, 88150, 0.8260869565217391
18, 89286, 0.7899999999999999
19, 103230, 0.7577319587628866
20, 83816, 0.8802083333333334
21, 87031, 0.7938931297709924
22, 97562, 0.7094240837696335
23, 88893, 0.7893401015228426
24, 98257, 0.7985436893203883
25, 96533, 0.7615571776155717
26, 87013, 0.841743119266055
27, 67101, 0.9238578680203046
28, 76328, 0.43410852713178294
29, 94772, 0.8188585607940446
30, 91954, 0.7602905569007264
31, 99949, 0.7841191066997518
32, 80767, 0.7679012345679012
33, 90381, 0.7575
34, 88507, 0.7493857493857494
35, 91301, 0.7587064676616915
36, 103793, 0.782608695652174
37, 101734, 0.7869674185463659
38, 109193, 0.42694497153700195
39, 97803, 0.7597087378640777
40, 94319, 0.7722772277227723
41, 101443, 0.7733990147783252
42, 72872, 0.768637532133676
43, 105489, 0.7132616487455198
44, 97713, 0.744131455399061
45, 90930, 0.7686567164179104
46, 94432, 0.765281173594132
47, 107684, 0.7853658536585366
48, 101218, 0.7728395061728395
49, 99959, 0.8024691358024691
50, 105280, 0.7698019801980198
51, 101855, 0.7457627118644068
52, 95498, 0.7553191489361702
53, 90774, 0.7688442211055276
54, 108144, 0.7911547911547911
55, 76351, 0.7407407407407407
56, 92482, 0.7456359102244389
57, 92815, 0.801007556675063
58, 98307, 0.44650205761316875
59, 92338, 0.7802469135802469
60, 90042, 0.7777777777777777
61, 103992, 0.7898550724637681
62, 103238, 0.7766990291262136
63, 87546, 0.736318407960199
64, 86450, 0.7731707317073171
65, 89323, 0.7654320987654321
66, 90090, 0.7805486284289277
67, 89282, 0.8418079096045198
68, 89357, 0.9104938271604939
69, 56410, 0.4112676056338028
70, 106598, 0.8112244897959183
71, 97107, 0.7892156862745098
72, 85962, 0.7597087378640777
73, 98782, 0.7720588235294118
74, 101433, 0.762962962962963
75, 95512, 0.7875000000000001
76, 102434, 0.8
77, 95424, 0.794344473007712
78, 95903, 0.8725761772853187
79, 97035, 0.7024793388429752
80, 102205, 0.6329896907216495
81, 97434, 0.7733990147783252
82, 98780, 0.8273195876288659
83, 82471, 0.8571428571428571
84, 103422, 0.803125
85, 78136, 0.43471810089020774
86, 90016, 0.780246913580247
87, 87746, 0.7703703703703704
88, 98209, 0.7844611528822054
89, 84951, 0.7611940298507462
90, 78201, 0.745049504950495
91, 85434, 0.7664233576642336
92, 96416, 0.7733990147783252
93, 109109, 0.9040697674418605
94, 98853, 0.7943661971830986
95, 89532, 0.771712158808933
96, 91424, 0.778894472361809
97, 73414, 0.854054054054054
98, 90219, 0.7783251231527094
99, 113784, 0.785
100, 100577, 0.768472906403941
101, 76821, 0.71007371007371
102, 107386, 0.8885793871866294
103, 80177, 0.8106666666666666
104, 97438, 0.861878453038674
105, 100902, 0.853731343283582
106, 95179, 0.8306010928961749
107, 89220, 0.7917737789203085
108, 90433, 0.7884130982367757
109, 106465, 0.8556430446194226
110, 94694, 0.7816377171215881
111, 102830, 0.8057142857142857
112, 47522, 0.3368421052631579
113, 107275, 0.7851851851851852
114, 91644, 0.7536945812807881
115, 94820, 0.7675544794188862
116, 110349, 0.787878787878788
117, 98725, 0.7772277227722773
118, 86260, 0.7592137592137592
119, 107909, 0.7802469135802469
120, 99313, 0.7775061124694377
121, 100539, 0.7741935483870968
122, 107352, 0.7922437673130194
123, 93665, 0.8079999999999999
124, 96234, 0.8380462724935732
125, 90027, 0.785
126, 99577, 0.7560975609756098
127, 99911, 0.7766990291262136
128, 100378, 0.7772277227722773
129, 95377, 0.7783375314861462
130, 88167, 0.8506666666666667
131, 89435, 0.8567639257294429
132, 101535, 0.8333333333333333
133, 96164, 0.8123393316195373
134, 92539, 0.785
135, 80774, 0.7660098522167488
136, 98975, 0.7783251231527093
137, 95627, 0.8490566037735848
138, 101205, 0.887005649717514
139, 32942, 0.13527851458885942
140, 88662, 0.7242268041237114
141, 95027, 0.7777777777777777
142, 87514, 0.7794117647058824
143, 97445, 0.7910447761194029
144, 54701, 0.80622009569378
145, 44610, 0.7529976019184652
146, 42595, 0.7642857142857142
147, 43255, 0.7651331719128329
148, 44434, 0.7607655502392345
149, 47039, 0.7458033573141486
150, 45182, 0.7494089834515366
151, 46719, 0.717391304347826
152, 42837, 0.7606635071090047
153, 44271, 0.7594339622641509
154, 42146, 0.7769028871391076
155, 43345, 0.4123076923076923
156, 91681, 0.7848101265822784
157, 90159, 0.7665847665847666
158, 98577, 0.7660098522167488
159, 88713, 0.7690417690417691
160, 101385, 0.7560975609756098
161, 93923, 0.7780548628428928
162, 99960, 0.8715846994535519
163, 98267, 0.8586956521739131
164, 100102, 0.8212435233160622
165, 97141, 0.7932011331444759
166, 79547, 0.7311411992263056
167, 89879, 0.7728395061728395
168, 89607, 0.7622549019607844
169, 99977, 0.7827160493827161
170, 88070, 0.2668711656441718
171, 87566, 0.7939698492462312
172, 102594, 0.7753086419753087
173, 94812, 0.7799511002444989
174, 100211, 0.7915632754342432
175, 106238, 0.8039702233250621
176, 95498, 0.7726161369193154
177, 43515, 0.7450000000000001
178, 45269, 0.8529411764705883
179, 42753, 0.8293333333333334
180, 40819, 0.8777777777777778
181, 41638, 0.8010471204188482
182, 42643, 0.7930107526881721
183, 44118, 0.7791563275434243
184, 46968, 0.7536231884057971
185, 44977, 0.7645631067961165
186, 43150, 0.8149100257069409
187, 46549, 0.79
188, 42037, 0.766109785202864
189, 83832, 0.7775061124694376
190, 101081, 0.7722772277227723
191, 103593, 0.7717121588089331
192, 98682, 0.7954545454545454
193, 106153, 0.7935323383084577
194, 91346, 0.7632241813602014
195, 77474, 0.8031088082901554
196, 104513, 0.43139841688654357
197, 103595, 0.7925925925925925
198, 89009, 0.7747524752475248
199, 79965, 0.7560975609756098
200, 95709, 0.7889447236180904
201, 111974, 0.8043478260869565
202, 41868, 0.34036144578313254
203, 104834, 0.7883211678832116
204, 103380, 0.7722772277227723
205, 71328, 0.7377450980392157
206, 75459, 0.7326732673267327
207, 90562, 0.7609756097560976
208, 90085, 0.8128205128205128
209, 67589, 0.8490566037735849
210, 41380, 0.8411458333333333
211, 49964, 0.8657534246575342
212, 46630, 0.8802228412256267
213, 44832, 0.8369304556354916
214, 46685, 0.8633879781420765
215, 45659, 0.7639593908629442
216, 42564, 0.7536585365853659
217, 44555, 0.7384987893462469
218, 44906, 0.7434052757793764
219, 42035, 0.75177304964539
220, 48299, 0.41928721174004197
221, 43891, 0.7688442211055276
222, 92913, 0.7542997542997543
223, 105462, 0.784841075794621
224, 106532, 0.7975308641975308
225, 97781, 0.79064039408867
226, 132619, 0.39331619537275064
227, 138075, 0.29411764705882354
228, 136828, 0.2942643391521197
229, 137770, 0.30317848410757947
230, 135693, 0.3034825870646766
231, 137824, 0.3052109181141439
232, 137027, 0.3160621761658031
233, 136207, 0.2941176470588235
234, 134425, 0.3
235, 137692, 0.30423940149625933
236, 137454, 0.3190348525469169
237, 136198, 0.3262032085561497
238, 136681, 0.30198019801980197
239, 138091, 0.29925187032418954
240, 137347, 0.3078817733990148
