Time, Mps, SystemCpu
0, 4995, 0.15854251201168063
1, 52634, 0.3527336860670194
2, 72188, 0.253416149068323
3, 75466, 0.2496894409937888
4, 78685, 0.24875000000000003
5, 81019, 0.24189526184538654
6, 78307, 0.25339925834363414
7, 79663, 0.24444444444444444
8, 82019, 0.24231242312423124
9, 80477, 0.23337515683814306
10, 81013, 0.23645320197044334
11, 80122, 0.2493827160493827
12, 79466, 0.24103831891223734
13, 82128, 0.23980222496909764
14, 80190, 0.23558897243107768
15, 82025, 0.24509803921568626
16, 80214, 0.23370233702337023
17, 79470, 0.24294478527607363
18, 83342, 0.24171779141104294
19, 81678, 0.2360248447204969
20, 81613, 0.24320987654320989
21, 81733, 0.2503052503052503
22, 80653, 0.24142156862745098
23, 80905, 0.23645320197044334
24, 76083, 0.2252816020025031
25, 80765, 0.2379778051787916
26, 80981, 0.2457002457002457
27, 83163, 0.25492610837438423
28, 81624, 0.2493857493857494
29, 80498, 0.2623152709359606
30, 81720, 0.23950617283950618
31, 79567, 0.24324324324324323
32, 81205, 0.23856613102595797
33, 81906, 0.2382716049382716
34, 82095, 0.2463054187192118
35, 78422, 0.23985239852398524
36, 82077, 0.23739237392373924
37, 82302, 0.2379778051787916
38, 79471, 0.2463054187192118
39, 81250, 0.2466091245376079
40, 82321, 0.24877450980392157
41, 81499, 0.23850931677018633
42, 81692, 0.2407862407862408
43, 79613, 0.23057953144266338
44, 81089, 0.24039653035935563
45, 81105, 0.2469437652811736
46, 82131, 0.23821339950372208
47, 82185, 0.2463235294117647
48, 81412, 0.23209876543209876
49, 82402, 0.24600246002460024
50, 78689, 0.23710073710073712
51, 79896, 0.2379778051787916
52, 81346, 0.23921085080147966
53, 82086, 0.25
54, 82829, 0.24167694204685572
55, 81685, 0.24539877300613497
56, 80508, 0.23768472906403942
57, 80893, 0.24474660074165638
58, 80886, 0.23616236162361623
59, 80605, 0.24474660074165636
60, 83124, 0.2527743526510481
61, 79974, 0.23464373464373464
62, 81914, 0.241635687732342
63, 82414, 0.2462871287128713
64, 82095, 0.252760736196319
65, 79460, 0.24294478527607363
66, 82914, 0.24477244772447723
67, 81015, 0.2469135802469136
68, 82235, 0.24074074074074073
69, 82262, 0.24539877300613497
70, 79599, 0.2342786683107275
71, 81786, 0.2466091245376079
72, 81246, 0.2352216748768473
73, 81256, 0.25552825552825553
74, 82410, 0.24447174447174447
75, 81968, 0.2506112469437653
76, 81200, 0.24320987654320989
77, 80607, 0.24600246002460024
78, 81208, 0.24938875305623473
79, 81379, 0.24876847290640394
80, 79979, 0.23296158612143744
81, 75136, 0.22648514851485146
82, 79818, 0.23312883435582823
83, 80831, 0.23891625615763545
84, 80066, 0.25862068965517243
85, 80554, 0.2352216748768473
86, 82476, 0.25814234016887816
87, 80875, 0.24447174447174447
88, 80894, 0.23955773955773954
89, 82479, 0.26108374384236455
90, 82347, 0.24231242312423124
91, 80905, 0.2389705882352941
92, 81602, 0.24504950495049505
93, 79238, 0.23399014778325125
94, 82144, 0.2512254901960784
95, 80762, 0.2457002457002457
96, 81893, 0.2512254901960784
97, 83129, 0.24907521578298397
98, 81721, 0.24411400247831475
99, 80950, 0.24447174447174447
100, 82929, 0.24969249692496925
101, 82543, 0.24877450980392155
102, 81625, 0.2457002457002457
103, 79804, 0.24387254901960784
104, 81162, 0.23950617283950618
105, 80689, 0.2457002457002457
106, 81868, 0.24074074074074073
107, 83347, 0.24537607891491986
108, 79246, 0.2311495673671199
109, 80002, 0.23680981595092024
110, 77076, 0.23001230012300122
111, 77361, 0.23645320197044337
112, 78776, 0.24572127139364303
113, 79102, 0.24688279301745636
114, 76792, 0.23362175525339926
115, 82441, 0.25
116, 80375, 0.2425742574257426
117, 83284, 0.25338253382533826
118, 82063, 0.2496894409937888
119, 83310, 0.23762376237623764
120, 79934, 0.24509803921568626
121, 77537, 0.24449877750611249
122, 80777, 0.2382716049382716
123, 82815, 0.23756218905472637
124, 81140, 0.24290998766954375
125, 81828, 0.24167694204685572
126, 80140, 0.23296158612143741
127, 82075, 0.24567901234567902
128, 82852, 0.2466091245376079
129, 79932, 0.23172242874845106
130, 79866, 0.24142156862745098
131, 77340, 0.23862238622386223
132, 81421, 0.24444444444444444
133, 80204, 0.2360248447204969
134, 81230, 0.24167694204685572
135, 81194, 0.24039653035935565
136, 81896, 0.24567901234567902
