Time, Mps, SystemCpu
0, 5401, 0.15742966504056793
1, 48554, 0.27455919395465994
2, 74114, 0.20151133501259444
3, 77659, 0.19041614123581335
4, 81934, 0.18575063613231552
5, 78257, 0.1903553299492386
6, 79498, 0.18901660280970625
7, 81316, 0.2005044136191677
8, 78763, 0.18726114649681527
9, 81446, 0.1982323232323232
10, 78655, 0.19138149556400505
11, 82585, 0.1984732824427481
12, 82756, 0.19898605830164767
13, 81777, 0.20203303684879287
14, 80842, 0.1934260429835651
15, 80647, 0.18678526048284627
16, 81705, 0.19823232323232323
17, 81122, 0.20075757575757575
18, 81063, 0.20254777070063693
19, 79454, 0.19035532994923857
20, 82962, 0.2030264817150063
21, 78830, 0.19318181818181818
22, 82525, 0.19873417721518988
23, 83288, 0.2085967130214918
24, 80477, 0.18853503184713374
25, 77873, 0.18575063613231552
26, 81283, 0.19543147208121828
27, 76845, 0.19138149556400508
28, 79529, 0.19444444444444445
29, 81565, 0.19670050761421318
30, 78510, 0.19216182048040456
31, 80828, 0.19543147208121828
32, 78607, 0.18043202033036848
33, 78409, 0.19216182048040453
34, 82260, 0.19923857868020303
35, 81310, 0.19771863117870722
36, 83145, 0.1994949494949495
37, 81298, 0.2
38, 82504, 0.19367088607594937
39, 82093, 0.19367088607594937
40, 81792, 0.20152091254752852
41, 82407, 0.19746835443037974
42, 82972, 0.20377358490566036
43, 81419, 0.20251572327044023
44, 80020, 0.19011406844106463
45, 81856, 0.20379746835443038
46, 82398, 0.207286432160804
47, 82165, 0.20654911838790932
48, 83080, 0.20101137800252844
49, 82664, 0.1994949494949495
50, 77388, 0.17893401015228427
51, 83229, 0.19338422391857504
52, 82988, 0.19999999999999998
53, 76602, 0.19138149556400508
54, 81375, 0.1984732824427481
55, 81646, 0.18734177215189873
56, 81511, 0.19419924337957123
57, 80126, 0.19367088607594934
58, 79469, 0.193138500635324
59, 81224, 0.2055485498108449
60, 81699, 0.1964512040557668
61, 82159, 0.20253164556962025
62, 82444, 0.2027707808564232
63, 82592, 0.20802005012531327
64, 82362, 0.20126582278481012
65, 80597, 0.19696969696969696
66, 82823, 0.1967005076142132
67, 82324, 0.20101137800252847
68, 80349, 0.1878940731399748
69, 82575, 0.1903553299492386
70, 82860, 0.20676691729323307
71, 82179, 0.20075757575757577
72, 81446, 0.20202020202020202
73, 82366, 0.2005044136191677
74, 79503, 0.18932655654383734
75, 79438, 0.20353982300884957
76, 80116, 0.19770408163265304
77, 82184, 0.19745222929936304
78, 82670, 0.19440914866581954
79, 83204, 0.19898605830164767
80, 81492, 0.19515306122448978
81, 82081, 0.20707070707070707
82, 83152, 0.1979695431472081
83, 80798, 0.19823232323232323
84, 83165, 0.20676691729323307
85, 81891, 0.2058080808080808
86, 83318, 0.1997471554993679
87, 81688, 0.19543147208121825
88, 80981, 0.198992443324937
89, 79781, 0.19419924337957126
90, 81005, 0.19848293299620734
91, 82911, 0.193138500635324
92, 80537, 0.1916243654822335
93, 79858, 0.1911392405063291
94, 83186, 0.19695044472681067
95, 82750, 0.20050441361916774
96, 80202, 0.19367088607594937
97, 82871, 0.1994949494949495
98, 82803, 0.19416243654822335
99, 83158, 0.1921119592875318
100, 82437, 0.19949494949494948
101, 81121, 0.19469026548672566
102, 81874, 0.193138500635324
