Time, Mps, SystemCpu
0, 2476, 0.0715499103806036
1, 11546, 0.6691919191919191
2, 55012, 0.4217171717171717
3, 64841, 0.32569974554707376
4, 60968, 0.3128205128205128
5, 67192, 0.33078880407124683
6, 67211, 0.3214285714285714
7, 67099, 0.3324937027707809
8, 66736, 0.335
9, 66887, 0.3274111675126904
10, 66372, 0.3273657289002557
11, 66998, 0.326530612244898
12, 63402, 0.3416458852867831
13, 67199, 0.32142857142857145
14, 66944, 0.3248081841432225
15, 67164, 0.3291457286432161
16, 67040, 0.3307888040712468
17, 66350, 0.3239795918367347
18, 62142, 0.3188775510204082
19, 57348, 0.3213367609254499
20, 38896, 0.3223350253807107
21, 41126, 0.3205128205128205
22, 41188, 0.3230769230769231
23, 55113, 0.3408521303258145
24, 60904, 0.32225063938618925
25, 66928, 0.3274111675126904
26, 66979, 0.32575757575757575
27, 66878, 0.3265822784810127
28, 48167, 0.3273657289002558
29, 65438, 0.33078880407124683
30, 65573, 0.3333333333333333
31, 66977, 0.3308080808080808
32, 66874, 0.3256997455470738
33, 66910, 0.3274111675126904
34, 66792, 0.32820512820512826
35, 67087, 0.3213367609254499
36, 66902, 0.3265822784810127
37, 67109, 0.3307888040712468
38, 67181, 0.32564102564102565
39, 66064, 0.33418367346938777
40, 64945, 0.319693094629156
41, 54692, 0.3316582914572864
42, 49214, 0.3299492385786802
43, 67026, 0.3265822784810127
44, 67257, 0.3282828282828283
45, 66854, 0.32558139534883723
46, 67126, 0.33080808080808083
47, 54538, 0.32061068702290074
48, 63460, 0.3265822784810127
49, 38961, 0.3283208020050125
50, 67058, 0.3248730964467005
51, 67030, 0.32299741602067183
52, 67007, 0.32575757575757575
53, 66994, 0.32911392405063294
54, 60442, 0.3224181360201511
55, 67172, 0.32569974554707376
56, 67014, 0.31266149870801035
57, 66817, 0.3248081841432225
58, 66784, 0.33164556962025316
59, 66938, 0.31443298969072164
60, 63779, 0.32569974554707376
61, 66995, 0.33249370277078083
62, 66730, 0.3324937027707809
63, 67158, 0.3205128205128205
64, 67000, 0.3291457286432161
65, 65229, 0.3171355498721228
66, 66007, 0.3299492385786802
67, 66813, 0.31958762886597936
68, 46929, 0.3282442748091603
69, 54883, 0.3239795918367347
70, 66803, 0.32307692307692304
71, 66984, 0.3170103092783505
72, 61606, 0.3223350253807107
73, 35261, 0.31457800511508954
74, 44613, 0.3273657289002557
75, 57111, 0.33249370277078083
76, 66769, 0.32997481108312343
77, 65533, 0.32487309644670054
78, 66747, 0.30989583333333337
79, 66157, 0.3248730964467005
80, 45141, 0.32216494845360827
81, 66977, 0.33249370277078083
82, 67113, 0.31969309462915596
83, 67016, 0.33249370277078083
84, 61030, 0.3223350253807107
85, 66948, 0.3333333333333333
86, 51766, 0.3247422680412371
87, 63051, 0.3239795918367347
88, 66935, 0.3231552162849873
89, 66749, 0.3239795918367347
90, 66874, 0.32487309644670054
91, 66856, 0.3170103092783505
92, 66972, 0.31443298969072164
93, 66921, 0.3274111675126904
94, 66937, 0.3239074550128535
95, 61457, 0.32575757575757575
