Time, Mps
0, 1664
1, 3085
2, 4791
3, 3004
4, 7225
5, 3320
6, 3897
7, 4330
8, 3897
9, 3898
10, 4330
11, 3897
12, 4330
13, 4330
14, 4330
15, 3897
16, 4330
17, 4330
18, 4330
19, 3898
20, 4330
21, 3897
22, 3897
23, 3031
24, 4330
25, 4330
26, 3898
27, 4330
28, 3897
29, 3897
30, 3031
31, 4330
32, 4331
33, 3897
34, 4330
35, 4330
36, 4330
37, 3897
38, 4330
39, 3897
40, 3897
41, 4763
42, 4331
43, 3897
44, 3897
45, 3031
46, 4330
47, 4330
48, 3898
49, 4330
50, 3897
51, 3897
52, 4763
53, 4330
54, 3897
55, 3897
56, 4330
57, 3898
58, 3897
59, 3464
60, 4330
61, 3897
62, 3897
63, 3032
64, 4330
65, 4330
66, 3897
67, 4330
68, 3897
69, 3897
70, 3120
71, 4242
72, 4330
73, 3897
74, 4330
75, 4330
76, 4330
77, 3897
78, 4331
79, 3897
80, 3897
81, 3031
82, 4330
83, 4330
84, 3898
85, 4330
86, 4330
87, 4330
88, 3897
89, 4330
90, 3897
91, 3897
92, 4763
93, 4330
94, 3898
95, 3897
96, 4330
97, 3897
98, 3897
99, 4763
100, 4330
101, 3897
102, 3897
103, 4763
104, 4331
105, 3897
106, 3897
107, 4330
108, 3897
109, 4330
110, 4330
111, 4330
112, 3897
113, 4331
114, 4330
115, 4330
116, 3897
117, 4330
118, 3897
119, 3897
120, 3032
121, 4330
122, 4330
123, 3897
124, 4330
125, 3897
126, 3897
127, 4763
128, 4330
129, 3898
130, 3897
131, 3031
132, 4330
133, 4330
134, 3897
135, 4330
136, 3898
137, 3897
138, 4763
139, 4330
140, 3897
141, 3897
142, 3032
143, 4330
144, 4330
145, 3897
146, 4330
147, 3897
148, 3897
149, 3032
150, 4330
151, 4330
152, 3897
153, 4330
154, 4330
155, 4330
156, 3897
157, 4330
158, 3898
159, 3897
160, 4763
161, 4330
162, 3897
163, 3897
164, 4330
165, 3897
166, 3897
167, 3465
168, 4330
169, 3897
170, 3897
171, 4763
172, 4330
173, 3897
174, 3897
175, 4331
176, 3897
177, 3897
178, 3464
179, 4330
180, 3897
181, 3898
182, 3031
183, 4330
184, 4330
185, 3897
186, 4330
187, 3897
188, 3898
189, 3031
190, 4330
191, 4330
192, 3897
193, 4330
194, 4330
195, 4330
196, 3898
197, 4330
198, 3897
199, 3897
200, 4763
201, 4330
202, 3897
203, 3897
204, 4331
205, 3897
206, 3897
207, 3464
208, 4330
209, 3897
210, 3898
211, 4542
212, 2819
213, 4330
214, 3897
215, 4330
216, 3897
217, 3898
218, 3031
219, 4330
220, 4330
221, 3897
222, 4330
223, 4330
224, 4330
225, 3898
226, 4330
227, 3897
228, 3897
229, 3031
230, 4330
231, 4331
232, 3897
233, 4330
234, 3897
235, 3897
236, 3031
237, 4330
238, 4331
239, 3897
240, 4330
241, 4330
242, 4330
243, 3897
244, 4330
245, 3897
246, 3898
247, 4762
248, 4331
