Time, Mps
0, 1644
1, 2952
2, 4638
3, 3350
4, 7367
5, 3529
6, 4330
7, 3897
8, 3897
9, 4330
10, 3897
11, 4330
12, 3898
13, 3897
14, 4330
15, 3897
16, 3897
17, 4330
18, 3897
19, 3898
20, 4330
21, 3897
22, 4330
23, 3897
24, 3897
25, 4330
26, 3897
27, 3898
28, 4330
29, 3897
30, 3897
31, 4330
32, 3897
33, 4330
34, 3897
35, 3898
36, 4330
37, 3897
38, 3897
39, 4330
40, 3897
41, 3897
42, 4331
43, 3897
44, 4330
45, 3897
46, 3897
47, 4330
48, 3897
49, 3897
50, 4331
51, 3897
52, 3897
53, 4330
54, 3897
55, 4330
56, 3897
57, 3898
58, 4330
59, 3897
60, 3897
61, 4330
62, 3897
63, 3897
64, 4330
65, 3898
66, 4330
67, 3897
68, 3897
69, 3031
70, 4330
71, 4330
72, 3898
73, 4330
74, 3897
75, 3897
76, 4330
77, 3897
78, 3897
79, 4331
80, 3897
81, 3897
82, 4330
83, 3897
84, 4330
85, 3897
86, 3897
87, 4331
88, 3897
89, 3897
90, 4330
91, 3897
92, 3897
93, 4330
94, 3898
95, 4330
96, 3897
97, 3897
98, 4481
99, 2880
100, 4330
101, 3898
102, 4330
103, 3897
104, 3897
105, 4330
106, 3897
107, 3897
108, 4330
109, 3898
110, 3897
111, 4330
112, 3897
113, 4330
114, 3897
115, 3897
116, 4330
117, 3898
118, 3897
119, 4330
120, 3897
121, 3897
122, 4330
123, 3897
124, 4331
125, 3897
126, 3897
127, 4330
128, 3897
129, 3897
130, 4330
131, 3898
132, 3897
133, 4330
134, 3897
135, 4330
136, 3897
137, 3897
138, 3877
139, 3485
140, 4330
141, 3897
142, 4330
143, 3897
144, 3897
145, 4330
146, 3898
147, 3897
148, 4330
149, 3897
150, 3897
151, 4330
152, 3897
153, 4330
154, 3898
155, 3897
156, 4330
157, 3897
158, 3897
159, 4330
160, 3897
161, 3898
162, 4330
163, 3897
164, 4330
165, 3897
166, 3897
167, 4330
168, 3897
169, 3898
170, 4330
171, 3897
172, 3897
173, 4330
174, 3897
175, 4330
176, 3898
177, 3897
178, 4635
179, 2726
180, 4330
181, 3897
182, 4330
183, 3898
184, 3897
185, 4330
186, 3897
187, 3897
188, 4330
189, 3897
190, 3898
191, 4330
192, 3897
193, 4330
194, 3897
195, 3897
196, 4330
197, 3897
198, 3898
199, 4330
200, 3897
201, 3897
202, 4330
203, 3897
204, 4330
205, 3897
206, 3898
207, 3031
208, 4330
209, 4330
210, 3897
211, 4330
212, 3898
213, 3897
214, 4330
215, 3897
216, 3897
217, 4330
218, 3897
219, 3898
220, 4330
221, 3897
222, 4330
223, 3897
224, 3897
225, 4330
226, 3897
227, 3898
228, 4330
229, 3897
230, 3897
231, 4330
232, 3897
233, 4330
234, 3897
235, 3898
236, 4330
237, 3897
238, 3897
239, 4330
240, 3897
241, 3897
242, 4330
243, 3898
244, 4330
245, 3897
246, 3897
247, 3064
248, 4297
249, 4331
