Time, Mps
0, 724
1, 586
2, 1326
3, 475
4, 1829
5, 1198
6, 1448
7, 1054
8, 1134
9, 1367
10, 1055
11, 1093
12, 1377
13, 715
14, 1033
15, 1264
16, 922
17, 1010
18, 1176
19, 834
20, 982
21, 886
22, 839
23, 923
24, 760
25, 879
26, 713
27, 790
28, 684
29, 852
30, 482
31, 868
32, 715
33, 767
34, 719
35, 679
36, 744
37, 638
38, 696
39, 655
40, 695
41, 637
42, 737
43, 696
44, 674
45, 697
46, 449
47, 671
48, 653
49, 578
50, 643
51, 595
52, 627
53, 623
54, 566
55, 592
56, 520
57, 608
58, 588
59, 550
60, 559
61, 568
62, 497
63, 549
64, 544
65, 505
66, 523
67, 515
68, 301
69, 512
70, 508
71, 471
72, 517
73, 510
74, 490
75, 504
76, 499
77, 498
78, 449
79, 475
80, 471
81, 459
82, 470
83, 474
84, 414
85, 447
86, 455
87, 456
88, 451
89, 474
90, 466
91, 374
92, 464
93, 458
94, 455
95, 423
96, 444
97, 443
98, 424
99, 440
100, 435
101, 434
102, 418
103, 427
104, 419
105, 414
106, 408
107, 433
108, 431
109, 418
110, 426
111, 415
112, 404
113, 257
114, 414
115, 409
116, 411
117, 403
118, 401
119, 395
120, 393
121, 385
122, 396
123, 404
124, 401
125, 401
126, 397
127, 396
128, 391
129, 370
130, 390
131, 397
132, 383
133, 366
134, 382
135, 383
136, 385
137, 369
138, 315
139, 314
140, 317
141, 330
142, 251
143, 313
144, 315
145, 342
146, 347
147, 346
148, 347
149, 344
150, 379
151, 359
152, 382
153, 382
154, 379
155, 364
156, 376
157, 375
158, 372
159, 360
160, 380
161, 370
162, 378
163, 371
164, 370
165, 373
166, 374
167, 367
168, 360
169, 340
170, 330
171, 330
172, 320
173, 330
174, 355
175, 356
176, 363
177, 346
178, 362
179, 362
180, 358
181, 268
182, 319
183, 350
184, 353
185, 334
186, 346
187, 348
188, 349
189, 339
190, 334
191, 349
192, 342
193, 346
194, 351
195, 333
196, 347
197, 340
198, 337
199, 329
200, 320
201, 328
202, 330
203, 324
204, 304
205, 331
206, 328
207, 313
208, 323
209, 311
210, 328
211, 327
212, 328
213, 323
214, 286
215, 325
216, 323
217, 294
218, 285
219, 297
220, 319
221, 320
222, 316
223, 316
224, 313
225, 311
226, 315
227, 316
228, 316
229, 308
230, 310
231, 312
232, 311
233, 311
234, 295
235, 310
236, 312
237, 308
238, 306
239, 295
240, 306
241, 305
242, 302
243, 303
244, 289
245, 301
246, 301
247, 306
248, 303
249, 278
250, 303
251, 300
252, 298
253, 287
254, 293
255, 299
256, 295
257, 293
258, 288
259, 295
260, 280
261, 288
262, 296
263, 296
264, 296
265, 295
266, 294
267, 277
268, 248
269, 248
270, 250
271, 241
272, 237
273, 242
274, 243
275, 242
276, 246
277, 246
278, 244
279, 240
280, 242
281, 245
282, 243
283, 244
284, 209
285, 241
286, 246
287, 240
288, 243
289, 243
290, 241
291, 241
292, 237
293, 242
294, 236
295, 240
296, 241
297, 230
298, 236
299, 238
300, 240
301, 236
302, 239
303, 225
304, 239
305, 238
306, 235
307, 235
308, 234
309, 234
310, 228
311, 235
312, 239
313, 236
314, 238
315, 234
316, 215
317, 242
318, 231
319, 234
320, 234
321, 237
322, 235
323, 225
324, 232
325, 232
326, 230
327, 230
328, 234
329, 231
330, 222
331, 232
332, 229
333, 231
334, 227
335, 230
336, 230
337, 183
338, 226
339, 226
340, 225
341, 225
342, 225
343, 225
344, 226
345, 224
346, 226
347, 222
348, 214
349, 226
350, 225
351, 211
352, 226
353, 223
354, 223
355, 215
356, 220
357, 214
