Time, Mps
0, 0
1, 31306
2, 98855
3, 489886
4, 497017
5, 552198
6, 471096
7, 549840
8, 552828
9, 547384
10, 540142
11, 547925
12, 550410
13, 546395
14, 551019
15, 547345
16, 536354
17, 547372
18, 542364
19, 545346
20, 541512
21, 539348
22, 543321
23, 543598
24, 544098
25, 541171
26, 540804
27, 541940
28, 543163
29, 541395
30, 537780
31, 538614
32, 542972
33, 540919
34, 543435
35, 546330
36, 541828
37, 542820
38, 544840
39, 541208
40, 531320
41, 541147
42, 541799
43, 540921
44, 541123
45, 542535
46, 543791
47, 544329
48, 541166
49, 536802
50, 530271
51, 527058
52, 540529
53, 539177
54, 540392
55, 543803
56, 510874
57, 536385
58, 535588
59, 529368
60, 505600
61, 485321
62, 525528
63, 527534
64, 532041
65, 529527
66, 526444
67, 528590
68, 526630
69, 526469
70, 522672
71, 526467
72, 528677
73, 525373
74, 520053
75, 517764
76, 526249
77, 525908
78, 525443
79, 527146
80, 523916
81, 523547
82, 530739
83, 526299
84, 526932
85, 526847
86, 524927
87, 525788
88, 529096
89, 528912
90, 524394
91, 528311
92, 522468
93, 526356
94, 530038
95, 526866
96, 527976
97, 527412
98, 525913
99, 529250
100, 525593
101, 529633
102, 526874
103, 526169
104, 528727
105, 527114
106, 526624
107, 527099
108, 525536
109, 528594
110, 521965
111, 524193
112, 523244
113, 528158
114, 528488
115, 525547
116, 528124
117, 524742
118, 527407
119, 526211
120, 523183
121, 528298
122, 526525
123, 527472
124, 524534
125, 525641
126, 528652
127, 526992
128, 530192
129, 530814
130, 520170
131, 525980
132, 524234
133, 525728
134, 524818
135, 527220
136, 527282
137, 526424
138, 531296
139, 529665
140, 523363
141, 526985
142, 521313
143, 529809
144, 529766
145, 527405
146, 528756
147, 525747
148, 532014
149, 530436
150, 527368
151, 527694
152, 526583
153, 532101
154, 530045
155, 529941
156, 527146
157, 525658
158, 528473
159, 523685
160, 517856
161, 513387
162, 524138
163, 529780
164, 528775
165, 523675
166, 531948
167, 518076
168, 513686
169, 509169
170, 518388
171, 523253
172, 525308
173, 524802
174, 525708
175, 523089
176, 527748
177, 527982
178, 521504
179, 524983
180, 505394
181, 527426
182, 528662
183, 522486
184, 529340
185, 528033
186, 529563
187, 527098
188, 529719
189, 527455
190, 511319
191, 521384
192, 525237
193, 524032
194, 524812
195, 522279
196, 529392
197, 515795
198, 526610
199, 522316
200, 523056
201, 524189
202, 522779
203, 528929
204, 527571
205, 516804
206, 528398
207, 525623
208, 524779
209, 522163
210, 526758
211, 522492
212, 524603
213, 527111
214, 522816
215, 525241
216, 524788
217, 529540
218, 526248
219, 524140
220, 523618
221, 530291
222, 519179
223, 524943
224, 528608
225, 526368
226, 528922
227, 527718
228, 523455
229, 526189
230, 525146
231, 528603
232, 526044
233, 530840
234, 528043
235, 527097
236, 526213
237, 522568
238, 529337
239, 526233
240, 521540
241, 529702
242, 524452
243, 525921
244, 520674
245, 521872
246, 525221
247, 524324
248, 528727
249, 527189
