Time, Mps
0, 456
1, 345
2, 4162
3, 2387
4, 2383
5, 2319
6, 2358
7, 2364
8, 2654
9, 2849
10, 2413
11, 2472
12, 2461
13, 2687
14, 2350
15, 2438
16, 2232
17, 2436
18, 2352
19, 2363
20, 2340
21, 2821
22, 2436
23, 2242
24, 2451
25, 2350
26, 1567
27, 3005
28, 3054
29, 2885
30, 2707
31, 1798
32, 2533
33, 2605
34, 2281
35, 2238
36, 2898
37, 3307
38, 1972
39, 3136
40, 1608
41, 2138
42, 2498
43, 1912
44, 2930
45, 2766
46, 2324
47, 2352
48, 2377
49, 2259
50, 2874
51, 2447
52, 2323
53, 2832
54, 2356
55, 1974
56, 2195
57, 2830
58, 2440
59, 2314
60, 2355
61, 2341
62, 2799
63, 2410
64, 2343
65, 442
66, 4168
67, 2373
68, 2816
69, 2430
70, 2303
71, 2369
72, 2643
73, 2476
74, 2298
75, 2453
76, 2340
77, 2285
78, 2839
79, 1846
80, 2787
81, 2458
82, 2308
83, 2800
84, 2404
85, 1749
86, 2907
87, 2330
88, 2339
89, 2290
90, 2907
91, 2330
92, 2321
